Order Date,Ship Date,Ship Mode,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,year,month
2013-11-09,2013-11-12,Second Class,Consumer,United States,Henderson,Kentucky,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,2013,November
2013-11-09,2013-11-12,Second Class,Consumer,United States,Henderson,Kentucky,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,2013,November
2013-06-13,2013-06-17,Second Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,2013,June
2012-10-11,2012-10-18,Standard Class,Consumer,United States,Fort Lauderdale,Florida,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,2012,October
2012-10-11,2012-10-18,Standard Class,Consumer,United States,Fort Lauderdale,Florida,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,2012,October
2011-06-09,2011-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,2011,June
2011-06-09,2011-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656,2011,June
2011-06-09,2011-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,2011,June
2011-06-09,2011-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,2011,June
2011-06-09,2011-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,2011,June
2011-06-09,2011-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,2011,June
2011-06-09,2011-06-14,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,2011,June
2014-04-16,2014-04-21,Standard Class,Consumer,United States,Concord,North Carolina,South,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,2014,April
2013-12-06,2013-12-11,Standard Class,Consumer,United States,Seattle,Washington,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,2013,December
2012-11-22,2012-11-26,Standard Class,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,2012,November
2012-11-22,2012-11-26,Standard Class,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,2012,November
2011-11-11,2011-11-18,Standard Class,Consumer,United States,Madison,Wisconsin,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,2011,November
2011-05-13,2011-05-15,Second Class,Consumer,United States,West Jordan,Utah,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,2011,May
2011-08-27,2011-09-01,Second Class,Consumer,United States,San Francisco,California,West,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824,2011,August
2011-08-27,2011-09-01,Second Class,Consumer,United States,San Francisco,California,West,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,2011,August
2011-08-27,2011-09-01,Second Class,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,2011,August
2013-12-10,2013-12-14,Standard Class,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596,2013,December
2013-12-10,2013-12-14,Standard Class,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,2013,December
2014-07-17,2014-07-19,Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,2014,July
2012-09-25,2012-09-30,Standard Class,Consumer,United States,Orem,Utah,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,2012,September
2013-01-16,2013-01-20,Second Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,2013,January
2013-01-16,2013-01-20,Second Class,Consumer,United States,Los Angeles,California,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741,2013,January
2012-09-17,2012-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,2012,September
